이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
소이현,1,0,0,0,0,0,0,0,1.0,0,0,5,1,0,0,0,1,0,0,1,0,1,0.00,4.40,2.00,,95.6,0.04
전사민,1,0,0,0,0,0,0,0,1.0,0,0,5,2,0,0,0,0,0,0,1,0,0,0.00,1.40,2.00,,301.5,0.04
윤지웅,13,0,0,0,1,0,0,0,12.2,8,7,55,14,2,0,3,4,0,1,9,0,1,4.97,6.24,1.42,85.2,68.1,0.01
배민서,4,0,0,0,0,0,0,0,3.1,2,2,17,7,1,0,0,0,0,1,1,0,0,5.40,3.70,2.10,78.5,113.4,0.00
이민호,11,0,0,0,0,0,0,0,9.2,7,7,54,14,1,0,0,9,0,1,4,0,3,6.52,5.68,2.38,65.0,73.9,-0.04
홍성무,15,0,0,0,0,0,0,0,14.1,10,10,71,16,3,0,3,11,0,1,10,0,0,6.28,7.24,1.88,67.5,58.6,-0.08
송명기,2,0,0,1,0,0,0,0,3.0,3,3,14,4,0,0,1,2,0,0,1,0,0,9.00,9.07,2.00,47.1,46.8,-0.10
유원상,15,0,0,1,0,3,1,0,20.2,15,12,93,21,5,1,2,9,0,1,14,0,1,5.23,4.76,1.45,81.1,88.9,-0.17
이우석,6,0,0,0,0,0,0,1,5.1,6,6,26,7,2,0,0,5,0,0,4,0,0,10.13,4.72,2.25,41.9,89.1,-0.17
루친스키,30,0,0,30,19,5,0,0,183.0,67,62,770,173,12,3,14,57,0,11,167,0,11,3.05,3.84,1.26,160.4,125.7,5.59
구창모,15,0,0,14,9,0,0,1,93.1,20,18,348,58,12,0,7,18,0,0,102,0,2,1.74,2.92,0.81,281.8,165.5,4.61
송명기,36,0,0,12,9,3,0,0,87.2,37,36,372,78,13,0,12,39,1,2,72,0,7,3.70,5.06,1.34,132.3,95.7,2.29
라이트,29,0,0,29,11,9,0,0,157.2,87,82,696,164,27,2,12,63,0,10,125,2,5,4.68,4.35,1.44,104.5,110.9,2.01
김진성,48,0,0,0,3,0,0,6,47.1,16,14,190,41,8,2,4,10,1,0,56,0,2,2.66,2.86,1.08,183.7,169.7,1.43
홍성민,30,0,0,0,1,0,0,8,26.0,4,3,104,20,4,0,2,6,1,2,14,0,2,1.04,4.29,1.00,470.9,112.5,1.37
원종현,58,0,0,0,3,5,30,0,57.0,30,27,245,56,5,1,4,20,1,2,41,0,4,4.26,4.13,1.33,114.7,116.6,1.06
배재환,53,0,0,0,1,3,0,12,43.0,22,19,209,38,7,2,4,35,3,9,33,2,5,3.98,6.09,1.70,123.0,79.1,0.84
임정호,69,0,0,0,2,2,0,22,41.0,23,21,175,32,3,0,3,20,0,7,38,0,0,4.61,4.63,1.27,106.1,104.1,0.62
김건태,33,0,0,0,1,1,0,4,35.0,19,19,155,29,6,0,4,25,0,2,37,0,3,4.89,5.24,1.54,100.1,92.2,0.48
박정수,15,0,0,3,1,1,0,1,25.2,14,14,116,20,3,0,3,20,0,5,24,0,1,4.91,6.13,1.56,99.6,78.8,0.30
박진우,43,0,0,1,2,2,0,7,43.0,29,25,194,47,7,0,2,13,1,6,22,0,0,5.23,4.39,1.40,93.5,109.4,0.11
김태경,1,0,0,0,0,0,0,0,1.0,0,0,5,0,0,0,0,1,0,0,1,0,0,0.00,4.56,1.00,,104.8,0.07
손정욱,16,0,0,0,0,0,0,0,12.0,8,7,58,16,2,0,1,5,0,1,5,0,0,5.25,5.31,1.75,93.2,90.8,0.07
안인산,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.00,3.56,0.00,,134.3,0.05
신민혁,17,0,0,7,2,3,0,0,42.0,27,27,196,57,7,0,10,13,0,3,26,0,0,5.79,6.56,1.67,84.5,74.2,0.05
강동연,22,0,0,0,1,2,0,1,24.0,17,16,106,27,6,0,3,11,1,1,17,0,0,6.00,5.14,1.58,81.5,94.2,0.04
김영규,20,0,0,13,2,2,0,1,67.2,47,41,296,83,9,2,12,14,0,2,55,2,5,5.45,4.95,1.43,89.7,98.4,0.03
소이현,13,0,0,0,0,0,0,0,12.1,9,9,59,8,2,0,1,14,0,1,8,0,1,6.57,6.96,1.78,74.5,69.0,0.02
이호중,4,0,0,0,0,0,0,0,4.1,3,3,23,7,0,0,1,2,0,1,3,0,0,6.23,7.25,2.08,78.5,67.0,0.02
류진욱,3,0,0,0,0,0,0,0,3.0,2,2,14,4,1,0,1,1,0,0,3,0,0,6.00,6.89,1.67,81.5,71.1,0.01
임형원,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,0.00
이승헌,3,0,0,0,0,0,0,0,2.0,2,2,11,3,0,0,1,1,0,1,2,0,0,9.00,11.06,2.00,54.3,44.2,-0.02
임창민,44,0,0,0,7,2,0,11,37.2,26,22,179,39,10,1,4,23,1,2,44,0,3,5.26,4.51,1.65,93.0,107.2,-0.03
김태현,2,0,0,0,0,0,0,0,1.1,2,1,10,2,1,0,0,4,0,0,1,0,1,6.75,11.06,4.50,72.5,43.2,-0.05
니퍼트,30,1,0,28,14,7,0,1,179.1,83,76,760,186,20,1,17,48,0,6,158,0,10,3.81,4.23,1.31,129.7,118.7,5.03
유희관,30,1,0,30,12,9,0,0,177.1,98,87,779,202,41,6,21,51,0,8,112,0,5,4.42,5.13,1.43,112.0,97.5,3.28
오현택,58,0,0,2,4,3,0,4,66.2,28,27,300,81,20,2,6,18,1,5,56,0,0,3.65,4.34,1.49,135.7,116.0,1.76
이용찬,48,0,0,0,5,5,17,0,51.0,28,24,221,56,12,2,3,16,1,3,47,0,5,4.24,3.84,1.41,116.8,132.7,1.43
마야,11,1,0,11,2,4,0,0,63.0,36,34,278,67,10,0,6,24,0,4,54,0,2,4.86,4.71,1.44,101.8,106.8,1.27
이현승,65,0,0,3,3,3,0,15,55.0,34,31,259,68,12,2,2,23,1,3,39,1,4,5.07,4.27,1.66,97.5,120.5,1.15
윤명준,61,0,0,0,7,3,0,16,71.2,44,42,308,78,14,1,10,23,0,1,55,0,5,5.27,5.14,1.41,93.8,96.6,1.08
정재훈,54,0,0,0,1,5,2,15,53.2,33,32,230,50,8,1,6,19,1,6,56,0,0,5.37,4.56,1.29,92.2,109.4,0.99
변시원,31,0,0,0,0,0,0,3,33.2,21,19,141,35,6,2,3,10,0,4,29,1,1,5.08,4.54,1.34,97.4,111.0,0.61
함덕주,31,0,0,0,1,0,0,2,26.1,13,13,111,24,8,0,2,12,0,1,23,0,2,4.44,4.58,1.37,111.3,110.8,0.60
이재우,11,0,0,9,1,2,0,1,37.2,21,21,176,41,14,1,5,22,0,3,30,0,1,5.02,5.98,1.67,98.6,83.6,0.50
볼스테드,17,1,0,17,5,7,0,0,87.0,70,60,410,116,20,2,8,37,0,7,32,0,4,6.21,5.83,1.76,79.7,86.8,0.36
김명성,8,0,0,0,0,0,0,0,7.2,2,2,28,4,1,1,1,2,0,0,3,0,1,2.35,5.55,0.78,210.6,89.9,0.18
장민익,8,0,0,0,0,0,0,1,5.1,2,2,22,7,1,0,0,2,0,0,1,0,1,3.38,4.61,1.69,146.5,113.8,0.16
최병욱,12,0,0,0,0,0,0,0,16.1,12,12,77,24,5,1,4,7,0,0,9,0,0,6.61,7.22,1.90,74.8,67.6,0.11
이정호,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.00,3.86,0.00,,136.6,0.03
유창준,4,0,0,0,0,0,0,1,4.0,5,5,24,9,2,0,0,4,0,0,1,0,0,11.25,6.36,3.25,44.0,82.0,-0.03
임태훈,6,0,0,0,0,0,0,1,3.2,4,4,25,7,1,0,0,6,0,1,4,0,0,9.82,7.40,3.55,50.4,70.1,-0.05
강동연,1,0,0,0,0,0,0,0,1.0,3,3,8,5,2,0,1,0,0,0,3,0,0,27.00,10.86,5.00,18.3,40.6,-0.05
김수완,2,0,0,0,0,0,0,0,1.1,5,5,12,7,2,0,0,1,0,0,0,0,0,33.75,6.11,6.00,14.7,85.5,-0.08
김강률,14,0,0,1,0,1,0,0,16.2,16,15,80,25,1,1,5,7,0,0,13,0,1,8.10,7.46,1.92,61.1,64.7,-0.10
허준혁,8,0,0,0,0,0,0,0,6.1,10,10,39,17,1,0,1,4,0,2,3,0,0,14.21,7.80,3.32,34.8,64.1,-0.11
정대현,12,0,0,5,1,1,0,0,27.1,27,24,136,29,5,0,2,25,0,1,21,1,1,7.90,6.12,1.98,62.6,83.2,-0.11
홍상삼,12,0,0,3,0,3,0,1,21.0,21,20,109,26,4,2,4,20,0,2,17,1,5,8.57,7.86,2.19,57.7,63.3,-0.20
노경은,29,0,0,19,3,15,0,0,109.2,117,110,530,147,33,4,14,69,0,1,74,0,8,9.03,6.08,1.97,54.8,82.4,-0.85
유희관,30,1,1,30,18,5,0,0,189.2,84,83,786,193,33,5,23,44,0,4,126,1,4,3.94,4.62,1.25,119.0,100.2,4.40
