이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
이상동,5,0,0,0,0,0,0,0,6.0,6,6,30,11,5,0,0,3,0,0,3,0,1,9.00,4.06,2.33,53.3,118.1,-0.06
이선우,2,0,0,0,0,0,0,0,2.0,3,3,13,6,1,0,1,1,0,0,1,0,0,13.50,10.56,3.50,35.5,44.5,-0.07
하준호,42,0,0,1,0,3,0,5,41.2,30,28,189,38,6,0,1,27,1,2,26,0,2,6.05,4.64,1.56,79.3,103.1,-0.09
금민철,3,0,0,0,0,0,0,0,2.1,4,4,15,6,1,0,0,1,0,2,2,0,0,15.43,5.70,3.00,31.1,81.9,-0.12
안현준,1,0,0,0,0,0,0,0,0.1,4,4,5,2,0,0,0,2,0,0,0,0,1,108.00,21.56,12.00,4.4,22.1,-0.14
박세진,1,0,0,0,0,0,0,0,0.1,4,4,5,2,0,0,0,1,0,1,0,0,0,108.00,21.56,9.00,4.4,21.6,-0.15
류희운,7,0,0,0,0,1,0,0,8.1,10,10,41,14,4,0,1,4,0,0,7,0,1,10.80,4.88,2.16,44.4,97.6,-0.17
이대은,20,0,0,4,0,4,1,0,29.1,23,19,142,36,6,0,4,13,3,5,15,0,8,5.83,5.84,1.67,82.3,81.2,-0.26
조병욱,9,0,0,4,0,1,0,0,28.1,24,24,131,39,4,0,4,13,0,1,11,0,0,7.62,6.10,1.84,62.9,77.7,-0.27
류제국,29,1,1,29,13,11,0,0,161.1,83,77,701,152,25,0,14,70,0,21,138,0,13,4.30,4.90,1.38,118.4,102.5,3.70
소사,33,0,0,33,10,9,0,0,199.0,121,114,870,258,47,8,12,38,2,9,107,0,6,5.16,4.18,1.49,98.6,121.0,2.63
허프,13,0,0,11,7,2,0,1,74.2,34,26,299,72,11,2,2,9,0,1,46,0,0,3.13,3.31,1.09,162.3,154.9,2.07
임정우,67,0,0,0,3,8,28,0,70.2,31,30,317,73,10,2,5,36,4,6,87,0,6,3.82,3.86,1.54,133.1,130.2,2.06
김지용,51,0,0,0,3,4,0,17,63.0,25,25,258,52,10,1,9,18,3,5,56,0,4,3.57,4.82,1.11,142.4,102.1,1.92
우규민,28,1,1,24,6,11,0,1,132.0,89,72,599,166,30,0,16,36,1,18,81,0,1,4.91,5.35,1.53,103.6,93.1,0.76
진해수,75,0,0,0,0,4,1,17,54.0,30,28,254,57,10,1,5,37,4,2,54,0,1,4.67,4.94,1.74,109.0,101.4,0.73
최동환,26,0,0,0,2,0,1,0,34.2,18,17,151,30,5,0,2,15,0,4,22,0,5,4.41,4.92,1.30,115.2,103.2,0.56
이동현,46,0,0,0,4,3,2,5,43.1,26,26,195,54,13,0,5,14,3,3,38,0,3,5.40,4.51,1.57,94.2,110.0,0.45
신승현,49,0,0,0,3,1,1,9,45.1,26,25,199,41,9,1,3,24,3,4,31,0,3,4.96,4.94,1.43,102.5,102.3,0.43
봉중근,19,0,0,5,1,0,0,2,36.1,23,20,175,41,9,0,4,22,0,2,20,0,0,4.95,6.10,1.73,102.7,82.0,0.34
전인환,5,0,0,0,0,0,0,0,6.1,0,0,26,4,1,0,0,3,0,1,5,0,1,0.00,4.11,1.11,,126.3,0.29
정찬헌,6,0,0,0,0,0,0,0,8.0,3,3,34,7,2,0,0,3,0,1,4,0,2,3.38,4.29,1.25,150.7,120.8,0.28
임찬규,15,0,0,10,3,3,0,1,47.0,35,34,215,46,11,1,6,32,0,6,38,0,6,6.51,6.26,1.66,78.1,79.7,0.10
배민관,2,0,0,0,0,0,0,0,5.2,4,4,23,5,1,0,3,1,0,0,1,0,0,6.35,10.85,1.06,80.1,43.7,0.05
이승현,38,0,0,0,3,1,0,3,41.0,28,25,191,46,7,0,5,23,1,4,29,0,1,5.49,5.87,1.68,92.7,85.0,0.04
유경국,2,0,0,2,0,0,0,0,5.1,4,4,25,7,1,0,1,4,0,0,0,0,1,6.75,8.48,2.06,75.3,58.5,0.02
유원상,19,0,0,0,2,1,0,1,24.0,18,17,115,31,3,1,3,13,1,2,15,0,2,6.38,5.92,1.83,79.8,84.2,0.02
이영재,1,0,0,1,0,0,0,0,0.0,4,4,4,2,0,0,1,2,0,0,0,0,0,,,,,,0.00
김대현,1,0,0,0,0,0,0,0,1.2,2,1,10,3,1,0,0,0,0,1,0,0,1,5.40,5.59,1.80,94.2,92.9,-0.02
이준형,25,0,0,13,2,6,0,0,71.1,54,49,335,84,17,1,4,45,1,4,35,0,11,6.18,5.56,1.81,82.3,91.3,-0.04
윤지웅,59,0,0,0,4,2,0,11,44.0,33,32,196,48,5,1,4,18,2,4,37,0,1,6.55,4.66,1.50,77.7,107.6,-0.17
정현욱,17,0,0,0,1,0,1,3,21.0,19,17,97,22,3,0,4,10,1,4,18,0,2,7.29,6.41,1.52,69.8,76.7,-0.27
유재유,7,0,0,1,0,1,0,0,6.2,10,10,36,10,1,2,2,7,0,0,3,1,1,13.50,9.94,2.55,37.7,49.2,-0.29
코프랜드,13,0,0,13,2,3,0,0,63.1,53,39,314,71,6,1,8,42,0,7,34,0,13,5.54,6.68,1.78,91.8,74.8,-0.38
윌슨,26,1,1,26,9,4,0,0,170.0,63,58,689,158,23,3,11,35,1,6,149,1,10,3.07,3.63,1.14,164.3,139.4,6.33
소사,27,1,1,27,9,9,0,0,181.1,83,71,760,192,44,1,16,28,1,4,181,0,6,3.52,3.50,1.21,143.2,143.3,4.97
정찬헌,66,0,0,0,5,3,27,0,65.0,36,35,299,76,14,0,5,24,3,7,50,0,2,4.85,4.59,1.54,104.1,110.3,1.17
차우찬,29,1,0,29,12,10,0,0,170.0,119,115,762,177,36,4,27,79,2,10,136,0,10,6.09,5.83,1.51,82.9,85.5,0.83
최동환,28,0,0,0,1,0,0,1,37.0,19,19,156,33,7,0,6,11,0,3,28,0,4,4.62,5.56,1.19,109.1,89.5,0.68
최성훈,24,0,0,0,0,0,0,3,16.2,7,7,74,17,4,0,4,9,1,1,14,0,2,3.78,6.89,1.56,133.5,71.7,0.46
배재준,16,0,0,5,1,0,0,0,38.2,24,19,174,34,11,1,3,20,0,1,41,0,3,4.42,4.35,1.40,114.1,115.9,0.41
임찬규,29,0,0,27,11,11,1,0,146.2,104,94,680,195,32,1,23,47,1,13,125,0,6,5.77,5.37,1.65,87.5,92.6,0.41
김지용,48,0,0,0,5,6,1,13,47.0,30,28,198,52,9,1,10,9,1,2,42,0,1,5.36,5.45,1.30,94.1,90.3,0.36
배민관,8,0,0,0,0,0,0,0,11.0,2,2,51,9,3,0,0,4,0,2,11,0,3,1.64,3.47,1.18,308.3,148.9,0.34
여건욱,18,0,0,1,0,0,0,0,22.2,13,12,103,27,9,0,1,8,1,4,15,0,3,4.76,4.54,1.54,105.9,112.5,0.30
김영준,14,0,0,2,2,1,0,0,20.2,12,10,100,19,0,0,3,15,0,3,16,0,3,4.35,6.79,1.65,115.8,74.0,0.25
전인환,5,0,0,0,0,0,0,0,5.2,3,3,25,7,1,0,0,3,0,0,4,0,0,4.76,4.01,1.77,105.9,128.7,0.10
윤지웅,10,0,0,0,0,0,0,0,6.1,4,3,33,9,2,0,0,3,0,3,4,0,0,4.26,5.41,1.90,118.3,95.4,0.06
임정우,2,0,0,0,0,0,0,0,0.2,0,0,5,1,1,0,0,2,0,0,1,0,0,0.00,9.83,4.50,,52.0,0.04
신정락,49,0,0,1,3,7,0,5,50.2,37,33,227,59,8,0,5,17,0,6,56,0,3,5.86,4.27,1.50,86.1,117.5,0.02
성동현,1,0,0,0,1,0,0,0,0.1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.00,3.83,3.00,,135.5,0.02
김태형,2,0,0,0,0,0,0,0,1.2,1,1,8,2,0,0,1,1,0,0,1,0,0,5.40,12.23,1.80,93.4,39.7,0.01
고우석,56,0,0,0,3,5,0,3,67.0,51,44,312,69,12,2,10,37,0,5,44,1,2,5.91,6.34,1.58,85.3,79.0,0.01
김태형,1,0,0,0,0,0,0,0,1.0,4,4,8,2,1,0,0,4,0,0,0,0,1,36.00,15.83,6.00,14.0,32.4,-0.13
손주영,4,0,0,3,0,2,0,0,11.2,11,11,62,13,3,0,0,14,0,2,7,0,1,8.49,6.75,2.31,59.4,76.2,-0.17
문광은,6,0,0,0,0,1,0,0,6.2,9,9,35,11,1,0,3,5,0,0,5,0,0,12.15,10.43,2.40,41.5,46.9,-0.23
이우찬,3,0,0,0,0,0,0,0,0.2,4,4,9,3,2,0,0,3,0,1,0,0,1,54.00,21.83,9.00,9.3,23.5,-0.27
이동현,36,0,0,0,2,1,0,4,36.1,35,32,167,49,10,0,6,7,0,3,23,0,0,7.93,5.54,1.54,63.6,89.9,-0.46
진해수,66,0,0,0,2,3,0,14,43.2,37,35,210,63,6,1,7,13,2,4,37,0,1,7.21,5.25,1.74,69.9,94.7,-0.49
고우석,65,0,0,0,8,2,35,1,71.0,13,12,288,47,7,1,4,30,4,4,76,0,2,1.52,3.26,1.09,268.7,124.7,4.00
켈리,29,0,0,29,14,12,0,0,180.1,70,51,747,164,33,3,7,41,0,16,126,0,12,2.55,3.46,1.14,160.6,118.6,3.97
윌슨,30,1,0,30,14,7,0,0,185.0,77,60,763,171,27,2,7,43,1,11,137,0,6,2.92,3.27,1.16,140.0,125.3,3.39
차우찬,29,0,0,28,13,8,0,0,168.1,87,77,730,181,30,1,16,59,0,5,124,0,13,4.12,4.31,1.43,99.3,94.0,1.43
김대현,41,0,0,2,5,4,0,9,66.2,31,28,285,63,11,1,2,27,1,4,40,0,3,3.78,3.94,1.35,108.1,104.4,1.06
진해수,73,0,0,0,3,1,0,20,43.0,17,16,188,44,3,3,2,16,0,2,38,0,0,3.35,3.50,1.40,122.1,116.9,0.83
정우영,56,0,0,0,4,6,1,16,65.1,30,27,273,57,9,2,2,20,5,8,38,1,3,3.72,3.69,1.18,109.9,111.4,0.65
류제국,11,0,0,11,0,2,0,0,53.1,27,25,243,57,7,2,5,26,1,4,31,0,2,4.22,5.09,1.56,96.9,79.8,0.59
문광은,32,0,0,0,1,1,1,3,33.0,15,15,141,35,5,1,3,13,0,1,26,0,1,4.09,4.28,1.46,99.9,94.6,0.33
여건욱,25,0,0,0,0,0,0,0,29.2,14,13,130,35,11,1,2,8,0,1,24,0,1,3.94,3.57,1.45,103.6,113.9,0.29
이동현,5,0,0,0,0,0,0,0,5.0,0,0,20,6,0,0,0,0,0,0,5,0,0,0.00,1.40,1.20,,299.4,0.20
강정현,7,0,0,1,0,0,0,0,10.2,6,6,48,9,1,0,3,6,0,2,8,0,0,5.06,7.81,1.41,80.7,51.0,0.15
이우찬,30,0,0,13,5,4,0,2,91.0,55,49,398,78,14,1,5,66,1,4,58,0,5,4.85,5.12,1.58,84.3,80.0,0.15
임찬규,30,0,0,13,3,5,0,2,88.2,51,49,392,84,20,3,10,46,0,7,72,0,7,4.97,5.04,1.47,82.2,80.2,0.14
한선태,6,0,0,0,0,0,0,0,7.1,3,3,29,6,0,0,0,1,0,1,4,0,0,3.68,3.13,0.96,111.0,132.9,0.10
김정후,2,0,0,0,0,0,0,0,1.2,0,0,7,1,0,0,0,1,0,0,1,0,0,0.00,4.00,1.20,,103.7,0.07
오석주,3,0,0,0,0,0,0,0,5.0,3,3,24,6,1,0,2,3,0,0,4,0,1,5.40,8.80,1.80,75.7,44.7,0.04
정찬헌,13,0,0,0,1,1,6,0,10.0,5,2,46,11,4,0,0,6,0,0,11,0,0,1.80,3.00,1.70,227.1,138.0,0.03
임지섭,8,0,0,0,0,0,0,0,6.2,4,2,33,5,0,0,0,8,0,1,9,0,0,2.70,4.75,1.95,151.4,86.7,0.01
이상규,1,0,0,0,0,0,0,0,0.1,0,0,3,0,0,0,0,1,0,1,0,0,0,0.00,21.40,3.00,,19.2,0.01
류원석,2,0,0,0,0,0,0,0,3.1,2,2,17,2,0,0,1,5,0,0,4,0,0,5.40,9.40,2.10,75.7,42.6,0.00
심수창,5,0,0,1,1,1,0,0,11.2,8,8,57,17,3,0,1,7,0,0,12,0,0,6.17,4.26,2.06,66.2,95.1,-0.04
이상영,3,0,0,0,0,0,0,0,2.2,5,5,16,9,2,0,1,0,0,1,1,0,0,16.88,8.65,3.38,24.2,45.6,-0.16
최동환,18,0,0,0,1,0,0,0,23.0,17,17,107,25,7,0,4,11,0,2,13,0,1,6.65,6.23,1.57,61.4,64.5,-0.18
송은범,26,0,0,0,2,3,0,5,25.0,16,15,122,36,3,1,2,10,2,2,21,0,0,5.40,3.96,1.84,75.7,102.3,-0.27
켈리,28,1,1,28,15,7,0,0,173.1,67,64,705,160,29,1,16,40,0,11,134,0,4,3.32,4.09,1.15,139.1,112.6,4.24
정우영,65,0,0,0,4,4,5,20,75.0,26,26,305,48,5,0,3,29,3,11,59,0,1,3.12,3.98,1.03,148.2,117.2,2.62
이민호,20,0,0,16,4,4,0,0,97.2,46,40,434,94,19,0,5,44,1,10,67,1,4,3.69,4.48,1.41,125.4,104.2,1.77
임찬규,27,0,0,26,10,9,0,0,147.2,76,67,641,143,29,2,14,65,0,5,138,0,4,4.08,4.34,1.41,113.2,106.1,1.49
정찬헌,19,1,1,19,7,4,0,0,110.1,51,43,470,116,22,1,10,31,0,4,85,0,5,3.51,4.15,1.33,131.8,111.3,1.48
최동환,54,0,0,0,4,1,0,4,57.0,23,22,228,54,10,1,6,12,0,2,42,0,3,3.47,4.19,1.16,133.1,109.7,1.25
윌슨,25,0,0,25,10,8,0,0,144.2,81,71,628,161,23,2,13,39,0,8,109,1,3,4.42,4.19,1.38,104.7,110.1,1.08
송은범,56,0,0,1,4,2,2,6,56.0,29,28,247,66,8,1,4,19,1,3,28,0,2,4.50,4.61,1.52,102.7,100.8,0.81
최성훈,48,0,0,0,0,0,0,2,33.1,13,13,145,36,4,1,1,16,2,1,24,0,1,3.51,3.86,1.56,131.7,121.5,0.74
이정용,34,0,0,0,3,0,0,4,34.0,15,14,147,32,5,0,6,14,0,2,33,1,0,3.71,5.32,1.35,124.7,85.3,0.69
고우석,40,0,0,0,0,4,17,1,41.2,22,19,183,37,9,0,2,19,1,2,51,0,5,4.10,3.17,1.34,112.6,146.1,0.62
진해수,76,0,0,0,4,2,0,22,50.0,27,24,230,54,6,0,3,23,2,4,59,0,5,4.32,3.48,1.54,107.0,132.9,0.54
남호,6,0,0,3,0,0,0,0,18.1,9,8,82,13,3,1,1,12,0,1,14,0,0,3.93,4.87,1.36,117.7,95.9,0.21
차우찬,13,0,0,13,5,5,0,0,64.0,39,38,287,71,14,1,8,28,1,2,51,0,1,5.34,4.95,1.55,86.5,92.7,0.20
성재헌,4,0,0,0,0,0,0,0,4.1,2,2,20,6,1,0,0,1,0,1,1,0,0,4.15,4.48,1.62,111.3,105.9,0.08
이찬혁,4,0,0,0,0,0,0,0,3.1,2,2,17,4,0,0,1,3,0,1,1,0,1,5.40,10.46,2.10,85.6,43.6,0.02
한선태,1,0,0,0,0,0,0,0,1.0,2,2,7,3,0,0,0,2,0,0,0,0,1,18.00,9.56,5.00,25.7,49.4,-0.06
문광은,4,0,0,0,0,0,0,0,4.0,5,5,21,7,3,1,1,2,0,0,4,0,0,11.25,6.31,2.25,41.1,71.4,-0.09
백청훈,2,0,0,0,0,0,0,0,1.1,3,3,8,4,1,0,1,0,0,0,0,0,0,20.25,13.31,3.00,22.8,33.1,-0.09
정용운,3,0,0,0,0,0,0,0,1.2,3,3,9,3,1,0,0,1,0,0,3,0,0,16.20,1.76,2.40,28.5,267.6,-0.10
이우찬,4,0,0,1,0,0,0,0,4.2,6,6,30,9,2,0,1,7,0,2,4,0,0,11.57,10.41,3.43,40.0,44.2,-0.11
김지용,4,0,0,0,0,0,0,0,3.2,6,6,18,5,1,0,1,2,0,0,4,0,0,14.73,6.56,1.91,31.4,68.5,-0.15
김대유,3,0,0,0,0,0,0,0,2.1,6,6,14,5,1,0,0,1,0,1,1,0,0,23.14,5.27,2.57,20.0,89.6,-0.21
이상규,28,0,0,0,2,3,4,1,31.0,23,23,152,45,10,1,4,21,0,1,18,0,2,6.68,6.20,2.13,69.2,74.4,-0.22
김대현,33,0,0,0,4,0,0,3,32.1,24,21,158,37,7,2,6,23,1,1,28,0,3,5.85,6.37,1.86,79.1,71.6,-0.23
요키시,27,0,0,27,12,7,0,0,159.2,53,38,640,144,26,3,6,25,0,6,115,1,3,2.14,3.19,1.06,219.0,147.2,5.48
조상우,53,0,0,0,5,3,33,0,54.1,15,13,232,50,5,0,3,18,2,2,64,0,1,2.15,2.91,1.25,217.8,158.9,2.93
브리검,21,0,0,21,9,5,0,0,107.0,45,43,456,98,7,2,6,42,1,5,105,0,8,3.62,3.61,1.31,129.7,129.1,2.36
양현,58,0,0,1,8,3,2,11,60.0,23,22,245,58,9,1,4,17,0,3,33,0,1,3.30,4.32,1.25,142.1,108.4,1.72
안우진,42,0,0,0,2,3,2,13,36.0,12,12,143,20,2,0,3,17,1,0,41,0,2,3.00,3.69,1.03,156.3,124.9,1.35
이승호,24,0,0,23,6,6,0,0,118.2,71,67,517,132,20,1,15,40,0,5,73,1,3,5.08,5.11,1.45,92.3,90.8,1.09
한현희,25,0,0,25,7,9,0,0,135.2,77,75,587,141,20,1,10,37,2,14,109,2,3,4.98,3.99,1.31,94.3,116.8,1.03
김태훈,53,0,0,2,7,0,0,10,64.0,34,30,281,70,14,1,1,22,1,5,40,0,3,4.22,3.73,1.44,111.2,127.0,0.86
이영준,52,0,0,0,2,3,0,25,40.0,21,21,176,41,3,0,5,19,0,2,32,1,3,4.73,5.16,1.50,99.3,89.9,0.66
김선기,25,0,0,0,0,0,0,3,22.0,8,5,92,17,3,0,1,8,0,4,11,0,4,2.05,4.78,1.14,229.3,98.7,0.61
최원태,21,0,0,21,7,6,0,0,110.0,68,62,478,115,16,1,16,37,2,7,67,0,6,5.07,5.37,1.38,92.5,86.1,0.58
임규빈,33,0,0,0,2,0,0,2,37.2,20,19,162,46,7,0,11,10,0,2,20,0,2,4.54,7.25,1.49,103.3,63.1,0.54
양기현,24,0,0,0,0,1,0,1,23.1,10,10,99,24,3,0,3,10,1,1,12,0,2,3.86,5.48,1.46,121.6,84.7,0.48
김재웅,43,0,0,7,1,4,0,2,59.2,36,31,258,64,18,0,7,23,1,2,51,0,4,4.68,4.58,1.46,100.3,101.0,0.46
문성현,10,0,0,2,1,1,0,0,15.0,7,7,63,13,1,0,1,11,0,0,13,0,0,4.20,4.89,1.60,111.7,95.6,0.29
조성운,42,0,0,0,1,1,0,1,45.0,30,27,201,48,11,1,6,19,1,2,29,0,2,5.40,5.33,1.49,86.9,86.9,0.19
김상수,60,0,0,0,3,3,5,11,51.1,33,27,226,52,12,0,3,21,1,3,48,0,1,4.73,3.79,1.42,99.1,123.1,0.12
김동혁,8,0,0,0,0,1,0,0,8.2,5,5,36,8,1,1,1,1,0,1,6,0,1,5.19,4.36,1.04,90.3,106.2,0.09
차재용,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.00,3.56,0.00,,134.3,0.04
오주원,25,0,0,0,3,1,0,2,18.1,12,11,78,22,2,0,6,0,0,0,13,1,0,5.40,6.39,1.20,86.9,70.7,0.03
박주성,3,0,0,0,0,0,0,0,2.0,1,1,11,2,0,0,0,3,0,0,1,0,0,4.50,7.06,2.50,104.2,67.3,0.03
정대현,1,0,0,1,0,0,0,0,2.2,3,3,13,5,1,0,1,0,0,0,3,0,0,10.13,6.18,1.88,46.3,72.3,-0.08
김성민,25,0,0,0,1,0,0,0,23.2,19,17,112,28,6,0,3,12,2,3,21,0,1,6.46,5.08,1.69,72.5,91.2,-0.10
김정후,4,0,0,0,0,0,0,0,3.0,4,4,20,7,0,0,1,4,0,0,3,0,0,12.00,9.89,3.67,39.1,46.4,-0.11
박관진,1,0,0,0,0,1,0,0,0.1,1,1,3,1,0,0,0,1,0,0,1,0,0,27.00,6.56,6.00,17.4,71.4,-0.14
양현종,32,1,1,31,15,6,0,1,184.1,52,50,756,150,27,2,18,78,0,7,157,0,6,2.44,4.57,1.24,202.1,108.5,8.14
윤석민,51,0,0,0,2,6,30,0,70.0,23,23,297,69,11,4,4,24,7,2,68,0,1,2.96,3.23,1.33,166.8,155.3,3.87
임준혁,27,0,0,21,9,6,0,2,118.2,58,54,514,125,23,1,11,43,1,8,73,0,3,4.10,4.85,1.42,120.4,101.7,2.49
스틴슨,32,0,0,30,11,10,0,0,167.0,100,92,756,190,30,6,15,64,0,14,93,0,4,4.96,5.07,1.52,99.5,97.3,2.19
최영필,59,0,0,0,5,2,0,10,63.0,23,20,247,57,8,0,8,8,0,2,51,0,1,2.86,4.12,1.03,172.6,120.1,1.84
김광수,41,0,0,1,4,4,0,9,43.2,24,22,194,53,10,1,2,13,1,2,22,0,2,4.53,4.17,1.51,108.8,118.5,0.55
심동섭,69,0,0,0,3,1,1,21,57.1,35,32,257,47,9,0,7,43,3,3,71,1,5,5.02,4.98,1.57,98.2,100.4,0.54
김진우,4,0,0,2,1,0,0,1,13.0,5,5,55,12,1,0,1,9,0,1,12,0,0,3.46,5.08,1.62,142.5,97.7,0.49
서재응,9,0,0,9,1,4,0,0,40.0,23,22,174,52,10,2,5,8,0,5,16,0,1,4.95,5.42,1.50,99.6,90.9,0.48
한승혁,49,0,0,0,2,6,0,6,56.0,36,34,251,55,7,3,7,36,3,1,56,0,17,5.46,5.06,1.63,90.3,98.3,0.38
김태영,27,0,0,0,0,2,0,4,26.0,16,15,120,36,10,0,3,8,0,4,30,0,3,5.19,4.19,1.69,95.0,118.9,0.27
에반,16,0,0,1,4,0,0,4,26.1,15,13,115,30,3,0,0,13,0,1,25,0,4,4.44,3.31,1.63,111.0,150.2,0.23
박준표,37,0,0,2,2,2,0,3,46.0,32,32,201,54,17,2,4,11,1,5,33,0,2,6.26,4.29,1.41,78.8,115.5,0.21
김명찬,3,0,0,0,0,0,0,0,4.0,0,0,16,4,0,0,0,1,0,1,2,0,1,0.00,4.12,1.25,,120.1,0.19
한기주,7,0,0,0,0,0,0,0,8.1,4,3,39,11,1,1,0,5,0,0,4,0,0,3.24,4.46,1.92,152.2,110.6,0.13
김준,6,0,0,0,0,0,0,0,4.1,2,1,20,6,2,0,0,2,0,0,1,0,0,2.08,4.54,1.85,237.5,108.2,0.09
박정수,19,0,0,4,0,3,0,0,42.1,31,26,197,47,12,1,4,19,0,6,25,2,4,5.53,5.43,1.56,89.2,90.8,0.08
험버,12,0,0,11,3,3,0,0,50.2,38,38,244,62,16,0,11,32,0,5,35,0,6,6.75,7.25,1.86,73.1,68.1,0.04
신창호,5,0,0,0,0,0,0,0,5.2,5,5,25,4,0,0,1,4,0,0,4,0,0,7.94,6.62,1.41,62.1,74.6,-0.03
홍건희,38,0,0,7,2,5,1,0,82.0,63,55,383,84,10,2,18,57,4,4,86,0,8,6.04,6.46,1.72,81.7,76.9,-0.12
임준섭,16,0,0,0,1,0,0,2,13.2,12,8,69,20,4,2,1,8,1,0,13,0,1,5.27,4.20,2.05,93.6,118.6,-0.16
김병현,23,0,0,8,0,5,0,2,49.0,38,38,232,67,12,0,7,18,1,11,38,1,0,6.98,5.64,1.74,70.7,87.9,-0.19
이종석,2,0,0,0,0,0,0,0,4.0,8,7,24,10,2,0,2,2,0,0,3,0,0,15.75,10.12,3.00,31.3,48.7,-0.21
유창식,19,0,0,7,0,6,0,0,36.0,32,29,179,43,9,0,3,29,0,3,20,0,7,7.25,6.25,2.00,68.0,78.9,-0.41
문경찬,8,0,0,4,1,3,0,0,27.2,32,30,133,44,9,4,7,10,0,1,15,0,0,9.76,7.01,1.95,50.5,70.2,-0.48
헥터,31,3,1,31,15,5,0,0,206.2,88,78,868,211,34,3,7,51,0,6,139,0,7,3.40,3.72,1.27,152.5,140.6,6.64
양현종,31,3,0,31,10,12,0,0,200.1,96,82,850,191,31,2,19,77,0,2,146,2,6,3.68,4.75,1.34,140.6,109.9,5.69
지크,30,0,0,29,10,13,0,0,152.0,104,89,705,188,30,1,16,68,0,5,125,1,5,5.27,4.96,1.68,98.3,105.4,1.54
홍건희,50,0,0,9,4,4,4,5,90.1,53,50,407,103,17,1,10,41,2,1,83,0,8,4.98,4.72,1.59,104.0,110.8,1.52
최영필,54,0,0,3,4,3,2,10,57.1,26,23,249,74,11,1,6,8,0,3,54,0,5,3.61,3.85,1.43,143.4,136.6,1.51
윤석민,16,1,0,3,2,2,1,6,31.0,14,11,139,36,2,1,1,8,0,5,26,0,1,3.19,3.79,1.42,162.2,138.3,0.88
임창용,34,0,0,0,3,3,15,0,35.0,18,17,159,45,7,1,5,10,3,1,38,1,5,4.37,4.16,1.57,118.5,126.4,0.85
김광수,54,0,0,0,2,6,7,14,52.1,31,30,241,67,10,1,5,22,1,0,39,0,2,5.16,4.75,1.70,100.4,109.9,0.70
김윤동,31,0,0,5,0,3,2,2,53.0,33,32,242,48,8,0,9,38,0,3,47,0,4,5.43,6.55,1.62,95.3,79.7,0.65
한승혁,36,0,0,0,3,2,1,9,33.1,21,18,152,36,7,1,3,19,1,2,31,0,8,4.86,4.90,1.65,106.6,106.7,0.33
김진우,11,0,0,0,2,1,0,2,15.0,8,8,65,16,4,0,3,5,1,2,10,0,2,4.80,6.26,1.40,107.9,83.4,0.26
김명찬,11,0,0,0,0,0,0,1,13.0,7,7,59,17,4,0,1,4,0,1,10,0,2,4.85,4.41,1.62,106.9,118.6,0.23
고효준,19,0,0,6,0,2,0,2,36.1,26,19,168,36,6,1,5,24,1,1,45,1,3,4.71,5.09,1.65,110.0,103.2,0.22
임기준,19,0,0,6,0,2,1,1,31.1,23,21,158,37,5,1,2,33,1,4,15,0,1,6.03,7.11,2.23,85.9,73.1,0.17
박준표,46,0,0,2,4,0,0,5,51.2,39,36,238,60,11,1,4,22,3,8,33,0,2,6.27,5.09,1.59,82.6,102.6,0.15
정동현,9,0,0,3,1,2,0,0,18.0,13,12,79,20,7,0,2,6,1,2,4,0,0,6.00,5.96,1.44,86.3,87.3,0.11
배힘찬,3,0,0,0,0,0,1,0,5.2,6,5,27,7,1,0,1,3,0,0,2,0,0,7.94,6.97,1.77,65.2,74.5,-0.04
유창식,1,0,0,0,0,0,0,0,1.1,3,3,11,2,0,0,1,6,0,0,0,0,0,20.25,27.04,6.00,25.6,19.2,-0.09
곽정철,27,0,0,0,0,1,2,1,27.1,24,24,137,34,8,1,3,22,0,2,16,1,1,7.90,6.68,2.05,65.5,77.8,-0.11
정용운,12,0,0,3,0,1,0,0,21.2,21,19,113,31,3,3,1,20,1,0,12,1,3,7.89,5.92,2.35,65.6,87.8,-0.13
이준영,13,0,0,1,0,2,0,1,17.2,17,17,87,22,3,2,4,11,0,0,7,0,1,8.66,7.81,1.87,59.8,66.5,-0.14
전상현,8,0,0,1,0,2,0,1,13.1,13,12,67,19,3,1,3,8,0,0,11,0,0,8.10,6.87,2.03,63.9,75.9,-0.16
심동섭,54,0,0,0,5,2,1,13,37.2,30,27,182,45,3,0,5,21,0,4,33,0,2,6.45,5.76,1.75,80.3,90.7,-0.24
한기주,29,0,0,5,4,3,1,1,56.2,48,48,278,81,12,1,11,30,3,5,27,0,1,7.62,7.06,1.96,67.9,73.7,-0.27
임준혁,6,0,0,6,1,2,0,0,18.0,23,20,90,30,3,0,4,4,0,2,12,0,0,10.00,6.35,1.89,51.8,82.2,-0.63
헥터,30,1,0,30,20,5,0,0,201.2,83,78,854,221,36,4,21,45,1,5,149,0,7,3.48,4.34,1.32,142.7,115.0,5.86
양현종,31,1,0,31,20,6,0,0,193.1,88,74,808,209,32,2,17,45,0,0,158,0,14,3.44,3.94,1.31,144.2,126.7,4.60
